point,x,y,SOS_doy,EOS_doy,LOS_steps,peak_NDVI,POS_doy,trough_NDVI,amplitude,seasonal_integral,greenup_rate,senescence_rate
52,492674.16493545973,9239991.840280948,42.0,306.0,264.0,0.36122414,78.0,0.09936055,0.18629873,2.4755359,0.0030759408,0.0011485245
53,473247.91026327637,9236850.788607806,102.0,324.0,222.0,0.5763594,210.0,-0.037725255,0.5001809,4.6170135,0.002857632,0.0053867074
54,474765.8228672643,9240253.178344594,102.0,294.0,192.0,0.53017765,222.0,-0.0035282085,0.44801122,3.7377028,0.0030193045,0.0074125817
55,484378.051596208,9232252.026378073,0.0,282.0,282.0,0.5240996,6.0,0.06882747,0.22763607,0.2433543,,0.0015541576
56,467343.26667809614,9227646.860673668,102.0,324.0,222.0,0.46974385,234.0,0.14307143,0.29316777,3.369406,0.0024747911,0.0028851458
57,455360.3029055214,9220279.15723274,42.0,126.0,84.0,0.33747667,54.0,0.22132723,0.07872832,0.41731325,0.003442265,0.0016131867
58,468452.7999574412,9246004.412920889,54.0,270.0,216.0,0.3642523,66.0,0.14011636,0.18620515,1.477359,0.0066981264,0.0010987056
59,491480.23960812954,9234938.214313986,126.0,222.0,96.0,0.39984268,198.0,0.16822489,0.22715957,0.9291393,0.003216914,0.009279224
60,462686.3129048868,9250744.086397573,66.0,336.0,270.0,0.33974794,78.0,0.19606961,0.1401708,1.6827676,0.006753154,0.0005568927
61,484831.7450674702,9242487.123083567,198.0,348.0,150.0,0.4812939,234.0,0.3295195,0.13696048,1.0146902,0.0033929604,0.0013313541
62,457714.92837483657,9254004.122692717,54.0,282.0,228.0,0.3161002,78.0,0.09281477,0.21998644,1.7189207,0.0061692647,0.0010315989
63,460055.40116591775,9251297.239653142,18.0,336.0,318.0,0.47026217,90.0,-0.045152694,0.51290715,9.700247,0.0052289297,0.0016163551
64,489443.4430363055,9241597.942143587,138.0,282.0,144.0,0.32209995,222.0,0.16451083,0.14912784,0.9850931,0.0016746019,0.0026264854
65,461923.54818452697,9245129.916387133,126.0,336.0,210.0,0.35608768,186.0,0.060159754,0.28459185,2.5070343,0.0049321325,0.0018217053
66,491699.47179231985,9241880.724191854,102.0,306.0,204.0,0.30841368,234.0,-0.04616604,0.2708997,2.4232123,0.0025616447,0.0007829484
67,462347.9683912919,9227216.470498761,102.0,312.0,210.0,0.40530652,234.0,0.31488633,0.08836207,0.70908844,0.00068500143,0.0009668103
68,471038.9177007015,9240756.899088582,126.0,294.0,168.0,0.37697965,174.0,0.19607837,0.14360616,1.4365187,0.0021412328,0.0008302306
69,483030.323396994,9231951.52069125,0.0,114.0,114.0,0.37702405,6.0,0.118897736,0.12906316,0.082051344,,0.0022038994
70,469929.8311135617,9223366.933888087,294.0,0.0,12.0,0.41261575,360.0,0.15506724,0.12877426,0.0,0.0039022502,
71,448309.5313640029,9232242.819583712,78.0,324.0,246.0,-0.03681766,102.0,-0.08271475,0.038867567,0.26504472,0.0013265851,0.00020674366
72,479424.00275677635,9238757.965594456,66.0,312.0,246.0,0.25931948,258.0,0.23213398,0.018003806,0.2837494,4.5948662e-05,0.00014149204
73,491893.8667914206,9238022.8815513,90.0,294.0,204.0,0.46006083,222.0,-0.0034196242,0.41794977,3.1690838,0.0033568763,0.005172487
74,471242.80878741114,9241421.134721242,78.0,186.0,108.0,0.25944227,138.0,0.14252456,0.11348283,0.5280616,0.0019486286,0.0021282304
75,464457.9561800435,9250765.562310252,138.0,348.0,210.0,0.32206526,186.0,0.11649627,0.20321691,2.079633,0.0041846843,0.0012689445
76,465599.48247414775,9221393.710740786,18.0,126.0,108.0,0.4287593,78.0,0.07775736,0.30332857,1.6289523,0.0037704587,0.0073125404
77,464425.6279938235,9246579.431662349,30.0,282.0,252.0,0.3160501,78.0,0.20243627,0.09964968,1.1191803,0.0017851148,0.0005569306
78,453159.5963428128,9229878.498010935,102.0,306.0,204.0,0.29618984,162.0,0.058182053,0.19313434,1.5829281,0.0023200603,0.0016528318
79,468715.09706346464,9242078.792943956,102.0,282.0,180.0,0.3354214,174.0,0.25771543,0.068801284,0.68898773,0.0008318971,0.00071949983
80,468989.526088977,9217284.708426733,42.0,126.0,84.0,0.27906507,78.0,0.054793417,0.15082751,0.54307616,0.0021495381,0.004672326
81,456712.7201014056,9253847.861734334,54.0,348.0,294.0,0.28875935,66.0,0.0660813,0.19151378,1.5938846,0.011405571,0.0007896385
82,480235.35085148807,9235553.620248454,30.0,336.0,306.0,0.4035279,42.0,0.09676681,0.23216847,1.9990019,0.0131313205,0.0008710344
83,495151.2782624962,9241932.906523842,138.0,306.0,168.0,0.30065492,234.0,-0.1056784,0.35134387,2.4703753,0.0036392605,0.004116034
84,465850.44343186123,9251079.291173574,150.0,294.0,144.0,0.35104892,186.0,0.07771955,0.26579982,2.262241,0.006977593,0.0023913914
85,474210.0814614933,9247725.990199214,162.0,294.0,132.0,0.24508643,198.0,0.14494619,0.07025769,0.5830804,0.00091846165,0.0010431275
86,495640.10505325644,9236062.08909513,0.0,54.0,54.0,0.37236375,18.0,0.18239412,0.11407557,0.19216256,,0.0052769342
